# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.034648 seconds
# 945.734309 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
  1850	     0.94455	     0.02969
  1900	     0.82412	     0.02706
  1950	     0.74623	     0.02514
  2000	     0.68472	     0.02322
  2050	     0.61888	     0.02165
  2100	     0.56614	     0.02022
  2150	     0.55249	     0.01952
  2200	     0.46412	     0.01742
  2250	     0.42320	     0.01628
  2300	     0.39855	     0.01539
  2350	     0.37107	     0.01462
  2400	     0.32234	     0.01334
  2450	     0.33750	     0.01342
  2500	     0.29140	     0.01216
  2550	     0.25517	     0.01121
  2600	     0.25357	     0.01088
  2650	     0.25614	     0.01082
  2700	     0.21617	     0.00974
  2750	     0.17851	     0.00859
  2800	     0.19725	     0.00896
  2850	     0.18042	     0.00837
  2900	     0.15973	     0.00777
  2950	     0.14732	     0.00734
  3000	     0.15180	     0.00728
  3050	     0.14165	     0.00693
  3100	     0.13673	     0.00667
  3150	     0.13155	     0.00647
  3200	     0.12444	     0.00617
  3250	     0.11535	     0.00585
  3300	     0.10842	     0.00561
  3350	     0.10136	     0.00535
  3400	     0.09602	     0.00516
  3450	     0.08746	     0.00479
  3500	     0.08675	     0.00474
  3550	     0.08287	     0.00456
  3600	     0.07214	     0.00418
  3650	     0.07937	     0.00431
  3700	     0.07097	     0.00403
  3750	     0.06469	     0.00381
  3800	     0.06457	     0.00375
  3850	     0.06455	     0.00371
  3900	     0.05414	     0.00335
  3950	     0.05484	     0.00328
  4000	     0.05401	     0.00325
  4050	     0.05115	     0.00310
  4100	     0.04838	     0.00297
  4150	     0.04430	     0.00282
  4200	     0.04519	     0.00284
  4250	     0.04790	     0.00290
  4300	     0.04150	     0.00265
  4350	     0.03904	     0.00254
  4400	     0.03967	     0.00255
  4450	     0.03968	     0.00252
  4500	     0.03811	     0.00241
  4550	     0.03444	     0.00227
  4600	     0.03526	     0.00226
  4650	     0.02925	     0.00205
  4700	     0.02967	     0.00204
  4750	     0.02858	     0.00197
  4800	     0.03026	     0.00202
  4850	     0.03055	     0.00203
  4900	     0.02325	     0.00171
  4950	     0.02848	     0.00190
# extra	     0.20066
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.035367 seconds
# 926.516691 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	877085.53125	        -nan
    50	  4698.13895	    50.18621
   100	  1783.89674	    18.49387
   150	   908.22918	     9.40123
   200	   528.25873	     5.58450
   250	   331.22699	     3.63766
   300	   227.89121	     2.55234
   350	   160.38193	     1.86639
   400	   115.80670	     1.40442
   450	    88.96939	     1.10514
   500	    65.70008	     0.86605
   550	    51.94644	     0.70615
   600	    41.12754	     0.57830
   650	    33.45755	     0.48364
   700	    26.62299	     0.40253
   750	    21.55067	     0.34075
   800	    17.60993	     0.29051
   850	    14.71377	     0.25018
   900	    11.98822	     0.21435
   950	    10.35544	     0.18912
  1000	     8.32694	     0.16133
  1050	     7.34032	     0.14475
  1100	     5.97821	     0.12471
  1150	     5.33968	     0.11279
  1200	     4.55839	     0.10036
  1250	     4.07621	     0.09122
  1300	     3.55382	     0.08194
  1350	     2.95291	     0.07188
  1400	     2.66825	     0.06631
  1450	     2.29954	     0.05911
  1500	     2.02687	     0.05377
  1550	     1.85500	     0.04982
  1600	     1.58898	     0.04448
  1650	     1.36005	     0.04005
  1700	     1.28523	     0.03781
  1750	     1.14923	     0.03488
  1800	     0.99941	     0.03147
  1850	     0.97922	     0.03035
  1900	     0.81726	     0.02686
  1950	     0.75668	     0.02530
  2000	     0.68654	     0.02342
  2050	     0.61548	     0.02168
  2100	     0.55955	     0.02017
  2150	     0.53517	     0.01915
  2200	     0.44899	     0.01718
  2250	     0.41036	     0.01595
  2300	     0.37215	     0.01488
  2350	     0.37185	     0.01467
  2400	     0.34187	     0.01382
  2450	     0.33761	     0.01328
  2500	     0.30954	     0.01260
  2550	     0.26495	     0.01134
  2600	     0.27049	     0.01127
  2650	     0.22167	     0.01000
  2700	     0.20171	     0.00934
  2750	     0.20416	     0.00925
  2800	     0.19478	     0.00881
  2850	     0.18393	     0.00842
  2900	     0.16759	     0.00793
  2950	     0.14258	     0.00722
  3000	     0.15479	     0.00732
  3050	     0.14317	     0.00697
  3100	     0.13461	     0.00668
  3150	     0.12175	     0.00620
  3200	     0.11517	     0.00592
  3250	     0.10840	     0.00563
  3300	     0.10692	     0.00556
  3350	     0.10620	     0.00551
  3400	     0.08781	     0.00487
  3450	     0.09375	     0.00498
  3500	     0.08456	     0.00464
  3550	     0.08094	     0.00454
  3600	     0.08049	     0.00440
  3650	     0.07092	     0.00405
  3700	     0.07214	     0.00403
  3750	     0.06342	     0.00374
  3800	     0.06817	     0.00387
  3850	     0.06798	     0.00379
  3900	     0.06361	     0.00361
  3950	     0.05070	     0.00316
  4000	     0.04857	     0.00307
  4050	     0.05405	     0.00320
  4100	     0.05101	     0.00306
  4150	     0.04506	     0.00283
  4200	     0.04636	     0.00288
  4250	     0.04045	     0.00264
  4300	     0.04810	     0.00286
  4350	     0.04100	     0.00260
  4400	     0.03522	     0.00240
  4450	     0.03270	     0.00229
  4500	     0.03678	     0.00239
  4550	     0.03481	     0.00228
  4600	     0.03727	     0.00237
  4650	     0.02795	     0.00199
  4700	     0.02865	     0.00201
  4750	     0.03171	     0.00209
  4800	     0.03035	     0.00200
  4850	     0.02827	     0.00194
  4900	     0.02829	     0.00191
  4950	     0.02610	     0.00184
# extra	     0.20039
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.037113 seconds
# 882.930640 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	876694.68750	        -nan
    50	  4725.65290	    50.18334
   100	  1778.23813	    18.43807
   150	   905.49253	     9.37112
   200	   530.09074	     5.57070
   250	   339.92469	     3.66104
   300	   228.72497	     2.55425
   350	   160.25885	     1.86585
   400	   117.77067	     1.41476
   450	    87.10946	     1.09275
   500	    66.78502	     0.87133
   550	    52.72898	     0.70910
   600	    40.55451	     0.57372
   650	    32.91719	     0.48115
   700	    26.61688	     0.40355
   750	    21.43751	     0.34037
   800	    17.48984	     0.28866
   850	    14.55345	     0.24898
   900	    12.32372	     0.21688
   950	     9.90510	     0.18540
